TyreLife,compound_encoded,lap_time_delta,deg_rate,GapToAhead,GapToBehind,laps_remaining,fuel_adjusted_laptime,pit_window_open,safety_car_active,TrackTemp,Position,pit_decision
33.0,0,0.31400000000000716,-0.5925000000000061,3.823,0.819,6.0,90.919,1,0,32.0,10,0
34.0,0,0.2049999999999983,-0.12950000000000866,5.008,0.885,5.0,90.83999999999999,1,0,32.1,10,0
35.0,0,0.3020000000000067,-0.00600000000000965,5.916,0.729,4.0,90.967,1,0,31.9,10,0
36.0,0,0.43300000000000693,0.11400000000000002,6.771,0.815,3.0,91.128,1,0,31.9,10,0
37.0,0,0.4930000000000092,0.09549999999999427,7.541,1.022,2.0,91.218,1,0,31.9,9,0
38.0,0,0.32900000000000773,-0.052000000000007006,6.811,1.135,1.0,91.084,1,0,32.0,9,0
39.0,0,0.07099999999999795,-0.21100000000001215,6.337,0.63,0.0,90.856,1,0,32.0,9,0
1.0,1,0.0,0.0,0.472,0.598,57.0,94.19800000000001,0,0,34.8,6,0
2.0,1,0.0,0.0,0.833,0.691,56.0,90.01299999999999,0,0,34.9,6,0
3.0,1,0.0,-2.3599999999999977,1.075,0.692,55.0,89.538,0,0,34.9,6,0
4.0,1,0.07800000000000296,-0.21349999999999267,0.814,0.669,54.0,89.646,0,0,34.3,6,0
5.0,1,1.019999999999996,0.5099999999999912,0.908,1.371,53.0,90.618,0,0,34.0,7,0
6.0,1,0.7439999999999998,0.3330000000000002,1.611,1.421,52.0,90.372,0,0,34.0,7,0
7.0,1,0.4549999999999983,-0.28250000000000014,1.73,1.54,51.0,90.113,0,0,34.5,7,0
8.0,1,0.7240000000000038,-0.010000000000008306,2.159,2.339,50.0,90.412,0,0,34.0,7,0
9.0,1,0.9899999999999949,0.26750000000000124,2.468,2.753,49.0,90.708,0,0,34.0,7,0
10.0,1,0.8529999999999944,0.06449999999999279,2.394,3.289,48.0,90.601,0,0,34.0,7,0
11.0,1,1.1310000000000002,0.0705000000000049,2.787,3.363,47.0,90.909,0,0,33.9,7,0
12.0,1,1.2099999999999937,0.17849999999999938,3.162,3.71,46.0,91.018,0,0,33.9,7,0
